LICENSE_PLATE,DAY_OF_WEEK,START_TIME,END_TIME,IS_AVAILABLE,DISPOSITION_AREA_ID,MATERIAL_TYPE_ID
KL-EN-165,0,00:00:00,00:00:00,0,1001101101,11
KL-EN-165,1,00:00:00,00:00:00,0,1001101101,11
KL-EN-165,2,00:00:00,00:00:00,0,1001101101,11
KL-EN-165,3,00:00:00,00:00:00,0,1001101101,11
KL-EN-165,4,00:00:00,00:00:00,0,1001101101,13
KL-EN-165,5,00:00:00,00:00:00,0,1001101101,11
KL-EN-165,6,00:00:00,00:00:00,0,1001101101,11
KL-EN-517,0,06:00:00,15:00:00,1,1001101102,11
KL-EN-517,1,06:00:00,15:00:00,0,1001101102,11
KL-EN-517,2,06:00:00,15:00:00,0,1001101102,13
KL-EN-517,3,06:00:00,15:00:00,1,1001101102,11
KL-EN-517,4,00:00:00,00:00:00,1,1001101102,11
KL-EN-517,5,00:00:00,00:00:00,0,1001101102,11
KL-EN-517,6,00:00:00,00:00:00,0,1001101102,11
KL-EN-519,0,00:00:00,00:00:00,0,1001101101,11
KL-EN-519,1,06:00:00,15:00:00,1,1001101101,11
KL-EN-519,2,06:00:00,15:00:00,1,1001101101,13
KL-EN-519,3,06:00:00,15:00:00,1,1001101101,11
KL-EN-519,4,00:00:00,00:00:00,0,1001101101,13
KL-EN-519,5,00:00:00,00:00:00,0,1001101101,11
KL-EN-519,6,00:00:00,00:00:00,0,1001101101,11
